PtID,East,North
0816006,149.7519,311.8259
0816007,153.0656,300.8340
0816008,143.0636,303.4999
0816009,146.8176,301.9608
0916001,169.5130,317.3759
0916002,169.6355,313.8165
0916003,167.6531,310.4807
0916003,167.6606,310.4932
0916004,164.8548,316.7378
0916005,165.3046,311.6328
0916006,165.6578,309.7452
0916007,162.5376,309.1591
0916008,161.7250,305.1514
0916009,163.1855,303.5896
0916010,164.5169,303.0404
0916011,165.7609,301.5969
0916012,178.8555,303.8969
1017001,198.2785,325.3465
1017002,187.3418,327.3521
1017003,182.4314,331.8514
1017004,185.1744,322.1447
0818001,152.7749,358.5041
0818002,155.1088,353.1732
